GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,EMP_N,PAYQTR1,PAYQTR1_N,PAYANN,PAYANN_N
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),Noise range for paid employees for pay period including March 12 (%),"First-quarter payroll ($1,000)",Noise range for first-quarter payroll (%),"Annual payroll ($1,000)",Noise range for annual payroll (%)
8610000US63188,63188,"ZIP 63188 (Saint Louis, MO)",00,Total for all sectors,2009,1,a,D,D,D,D,D
8610000US63197,63197,"ZIP 63197 (Saint Louis, MO)",00,Total for all sectors,2009,1,b,D,D,D,D,D
8610000US63198,63198,"ZIP 63198 (Saint Louis, MO)",00,Total for all sectors,2009,1,f,D,D,D,D,D
8610000US63199,63199,"ZIP 63199 (Saint Louis, MO)",00,Total for all sectors,2009,2,a,D,D,D,D,D
8610000US63301,63301,"ZIP 63301 (Saint Charles, MO)",00,Total for all sectors,2009,1404,24834,G,197300,G,818337,G
8610000US63302,63302,"ZIP 63302 (Saint Charles, MO)",00,Total for all sectors,2009,20,e,D,D,D,D,D
8610000US63303,63303,"ZIP 63303 (Saint Charles, MO)",00,Total for all sectors,2009,871,10192,G,72661,G,301000,G
8610000US63304,63304,"ZIP 63304 (Saint Charles, MO)",00,Total for all sectors,2009,891,11247,G,97330,G,395795,G
8610000US63330,63330,"ZIP 63330 (Annada, MO)",00,Total for all sectors,2009,1,a,D,D,D,D,D
8610000US63332,63332,"ZIP 63332 (Augusta, MO)",00,Total for all sectors,2009,35,260,G,939,G,4885,G
8610000US63333,63333,"ZIP 63333 (Bellflower, MO)",00,Total for all sectors,2009,10,63,H,S,S,1121,H
8610000US63334,63334,"ZIP 63334 (Bowling Green, MO)",00,Total for all sectors,2009,172,1870,G,10866,G,45313,G
8610000US63336,63336,"ZIP 63336 (Clarksville, MO)",00,Total for all sectors,2009,31,296,G,1640,G,7431,G
8610000US63338,63338,"ZIP 63338 (Cottleville, MO)",00,Total for all sectors,2009,9,114,G,782,G,3145,G
8610000US63339,63339,"ZIP 63339 (Curryville, MO)",00,Total for all sectors,2009,11,b,D,D,D,D,D
8610000US63341,63341,"ZIP 63341 (Defiance, MO)",00,Total for all sectors,2009,87,532,G,4287,G,20115,G
8610000US63342,63342,"ZIP 63342 (Dutzow, MO)",00,Total for all sectors,2009,7,c,D,D,D,D,D
8610000US63343,63343,"ZIP 63343 (Elsberry, MO)",00,Total for all sectors,2009,86,378,G,1554,G,7179,G
8610000US63344,63344,"ZIP 63344 (Eolia, MO)",00,Total for all sectors,2009,21,271,H,1843,H,7315,H
8610000US63345,63345,"ZIP 63345 (Farber, MO)",00,Total for all sectors,2009,10,11,G,S,S,466,H
8610000US63346,63346,"ZIP 63346 (Flinthill, MO)",00,Total for all sectors,2009,6,95,H,543,H,2190,H
8610000US63347,63347,"ZIP 63347 (Foley, MO)",00,Total for all sectors,2009,14,66,G,294,G,1097,G
8610000US63348,63348,"ZIP 63348 (Foristell, MO)",00,Total for all sectors,2009,122,766,G,5376,G,22601,G
8610000US63349,63349,"ZIP 63349 (Hawk Point, MO)",00,Total for all sectors,2009,25,74,G,488,G,2170,G
8610000US63350,63350,"ZIP 63350 (High Hill, MO)",00,Total for all sectors,2009,12,b,S,S,S,4194,H
8610000US63351,63351,"ZIP 63351 (Jonesburg, MO)",00,Total for all sectors,2009,39,495,G,3076,H,12779,H
8610000US63352,63352,"ZIP 63352 (Laddonia, MO)",00,Total for all sectors,2009,17,124,G,910,G,3843,G
8610000US63353,63353,"ZIP 63353 (Louisiana, MO)",00,Total for all sectors,2009,149,1690,G,11916,G,49734,G
8610000US63357,63357,"ZIP 63357 (Marthasville, MO)",00,Total for all sectors,2009,81,736,G,4610,G,20681,G
8610000US63359,63359,"ZIP 63359 (Middletown, MO)",00,Total for all sectors,2009,12,23,G,161,G,1008,G
8610000US63361,63361,"ZIP 63361 (Montgomery City, MO)",00,Total for all sectors,2009,127,757,G,4092,G,17328,G
8610000US63362,63362,"ZIP 63362 (Moscow Mills, MO)",00,Total for all sectors,2009,94,846,G,5920,G,27999,G
8610000US63363,63363,"ZIP 63363 (New Florence, MO)",00,Total for all sectors,2009,39,452,G,2419,G,10796,G
8610000US63365,63365,"ZIP 63365 (New Melle, MO)",00,Total for all sectors,2009,24,164,G,992,G,4522,G
8610000US63366,63366,"ZIP 63366 (O Fallon, MO)",00,Total for all sectors,2009,1201,18083,G,136769,G,553123,G
8610000US63367,63367,"ZIP 63367 (Lake Saint Louis, MO)",00,Total for all sectors,2009,392,4625,G,37410,G,153811,G
8610000US63368,63368,"ZIP 63368 (O Fallon, MO)",00,Total for all sectors,2009,467,9351,G,120072,H,423870,H
8610000US63369,63369,"ZIP 63369 (Old Monroe, MO)",00,Total for all sectors,2009,43,289,G,2202,G,9591,G
8610000US63370,63370,"ZIP 63370 (Olney, MO)",00,Total for all sectors,2009,1,a,D,D,D,D,D
8610000US63373,63373,"ZIP 63373 (Portage Des Sioux, MO)",00,Total for all sectors,2009,14,29,G,89,G,810,G
8610000US63376,63376,"ZIP 63376 (Saint Peters, MO)",00,Total for all sectors,2009,1622,22495,G,169230,G,711982,G
8610000US63377,63377,"ZIP 63377 (Silex, MO)",00,Total for all sectors,2009,46,348,G,1687,G,7227,G
8610000US63379,63379,"ZIP 63379 (Troy, MO)",00,Total for all sectors,2009,488,5671,G,38603,G,167610,G
8610000US63381,63381,"ZIP 63381 (Truxton, MO)",00,Total for all sectors,2009,1,a,D,D,D,D,D
8610000US63382,63382,"ZIP 63382 (Vandalia, MO)",00,Total for all sectors,2009,75,713,G,4188,H,17384,H
